Zeit,AccX,AccY,AccZ
14:59:57,604,136,1194
14:59:58,604,129,1185
14:59:58,602,127,1181
14:59:59,602,133,1192
14:59:59,594,129,1187
15:00:00,605,139,1187
15:00:00,600,129,1179
15:00:01,602,142,1188
15:00:01,601,137,1188
15:00:02,596,143,1185
15:00:02,604,131,1188
15:00:03,607,143,1185
15:00:03,603,131,1195
15:00:04,605,125,1184
15:00:04,611,132,1194
15:00:05,608,130,1181
15:00:05,595,130,1188
15:00:06,598,133,1185
15:00:06,599,131,1176
15:00:07,602,133,1190
15:00:07,603,129,1184
15:00:08,599,138,1181
15:00:08,603,141,1188
15:00:09,600,134,1183
15:00:09,600,134,1180
15:00:10,604,130,1185
15:00:10,599,127,1177
15:00:11,601,132,1181
15:00:11,602,133,1186
15:00:12,598,134,1183
15:00:13,610,135,1184
15:00:13,600,128,1182
15:00:14,605,133,1192
15:00:14,604,138,1186
15:00:15,603,130,1188
15:00:15,603,128,1178
15:00:16,598,134,1190
15:00:16,602,127,1200
15:00:17,603,137,1184
15:00:17,599,133,1187
15:00:18,605,130,1185
15:00:18,603,126,1175
15:00:19,605,135,1185
